campaign,ad,visits,landing_view,free_result_view,unlock_choice_modal_open,share_select,pay_select,any_select,unlock_granted,speed_purchases,deep_purchases,revenue_krw
hw_new_creative_screening_abo_20260620,ad_2nd_firstimpression_01,105,19,43,34,10,0,10,8,3,1,16770
hw_new_creative_screening_abo_20260620,ad_2nd_firstclosedifferent_01,19,0,6,3,0,1,1,1,0,0,0
hw_share_unlock,ad_share_geotsok_c_01,163,0,1,1,1,0,1,1,11,0,10890
hw_990_core_soft,ad_share_geotsok_a_01,43,11,31,15,3,3,6,3,6,1,19740
hw_990_core_soft,ad_990_ambiguousloop_01,8,0,2,2,0,1,1,1,1,0,990
hw_990_core_soft,ad_free_blueflame_01,8,1,1,1,0,0,0,0,0,0,0
hw_990_core_soft,ad_free_sajuwritten_01,56,3,15,10,4,3,7,5,9,1,22710
hw_new_creative_screening_abo_20260621,ad_2nd_facec-rdopen_01,22,1,3,1,0,0,0,0,0,0,0
hw_new_creative_screening_abo_20260620,ad_2nd_attractionreason_01,40,3,10,3,3,0,3,2,0,0,0
hw_new_creative_screening_abo_20260620,ad_2nd_distancecharm_01,22,2,5,0,0,0,0,0,1,0,990
hw_new_creative_screening_abo_20260621,ad_2nd_firstclosedifferent_01,10,2,2,0,0,0,0,0,0,0,0
hw_new_creative_screening_abo_20260620,ad_2nd_unforgettable_01,18,8,5,1,0,0,0,1,0,0,0
hw_new_creative_screening_abo_20260620,ad_2nd_facec-rdopen_01,8,1,0,0,0,0,0,0,0,0,0
hw_new_creative_screening_abo_20260621,ad_2nd_distancecharm_01,13,1,1,1,1,0,1,1,0,0,0
hw_new_creative_screening_abo_20260621,ad_2nd_attractionreason_01,13,1,2,1,0,1,1,0,0,0,0
face_dohwa_share,first_snow_muse,6,0,0,0,0,0,0,0,0,0,0
hw_990_core_soft,ad_free_hyeonwol_01,62,1,1,1,0,0,0,0,7,4,62130
hw_new_creative_screening_abo_20260621,ad_2nd_unforgettable_01,11,0,1,1,0,0,0,0,0,0,0
hw_free_ux_monitor,ad_free_sajuwritten_01,267,0,0,0,0,0,0,0,6,0,5940
hw_share_unlock,ad_share_geotsok_b_01,175,0,0,0,0,0,0,0,6,0,5940
hw_990_speed_decode,ad_990_dangerpattern_01,58,0,0,0,0,0,0,0,5,0,4950
hw_free_ux_monitor,ad_free_blueflame_01,111,0,0,0,0,0,0,0,3,0,2970
hw_free_ux_monitor,ad_share_geotsok_a_01,30,0,0,0,0,0,0,0,1,0,990
hw_share_unlock,geot_sok_a_static_01,38,0,0,0,0,0,0,0,2,0,1980
hw_free_result_view,ad_free_hyeonwol_01,752,0,0,0,0,0,0,0,26,0,25740
hw_free_result_view,ad_free_redrose_01,140,0,0,0,0,0,0,0,3,0,2970
hw_990_speed_decode,ad_990_ambiguousloop_01,12,0,0,0,0,0,0,0,0,0,0
hw_free_result_view,hyeonwol_dohwasal_static_01,470,0,0,0,0,0,0,0,31,0,30690
hw_share_unlock,ad_share_geotsok_a_01,4,0,0,0,0,0,0,0,0,0,0
hw_free_result_view,ad_free_sajuwritten_01,5,0,0,0,0,0,0,0,0,0,0
hw_free_result_view,ad_free_blueflame_01,4,0,0,0,0,0,0,0,0,0,0
final_full_funnel_qa,chrome_payment_stage_after_share_block,1,0,0,0,0,0,0,0,2,1,15780
final_full_funnel_qa,payment_stage_after_share_block,1,0,0,0,0,0,0,0,0,0,0
hw_990_speed_decode,danger_relationship_static_01,64,0,0,0,0,0,0,0,2,0,1980
hw_share_unlock,geot_sok_b_static_01,206,0,0,0,0,0,0,0,7,0,6930
